nasa1824.mtx,5920393,3390732,42,6,2529661,3478914,42,8,2441479,3475440,42,8,2444953,3478878,42,8,2441515,3393048,42,6,2527345,3424092,42,8,2496301,3405342,42,8,2515051,3450618,42,8,2469775
circuit_1.mtx,8571663,3018168,136,1,5553495,2935242,136,1,5636421,3026424,136,1,5545239,2932158,137,1,5639505,5276598,2571,1,3295065,2771076,137,1,5800587,5240538,2504,1,3331125,3059904,137,1,5511759
G27.mtx,8929030,3934758,37,9,4994272,3900198,34,8,5028832,3782514,33,9,5146516,3767358,36,10,5161672,3747390,34,8,5181640,3842472,34,9,5086558,3804108,33,10,5124922,3832284,33,7,5096746
lock2232.mtx,10562029,8459814,48,0,2102215,8459814,48,0,2102215,8470008,48,0,2092021,8470008,48,0,2092021,8453970,48,0,2108059,8453970,48,0,2108059,8362878,48,0,2199151,8362878,48,0,2199151
spaceShuttleEntry_3.mtx,6378825,2895132,30,2,3483693,3232566,1700,2,3146259,2892972,30,2,3485853,3232044,1700,2,3146781,2893644,30,2,3485181,3215856,1700,2,3162969,2891106,30,2,3487719,3253686,1700,2,3125139
tumorAntiAngiogenesis_6.mtx,598693,234390,461,2,364303,234948,461,2,363745,231852,461,2,366841,234432,461,2,364261,233388,461,2,365305,235560,461,2,363133,235326,461,2,363367,233196,461,2,365497
CollegeMsg.mtx,8637016,1907388,237,0,6729628,1916484,237,0,6720532,1920180,237,0,6716836,1933296,237,0,6703720,1928670,237,0,6708346,1929942,237,0,6707074,1928832,237,0,6708184,1923024,237,0,6713992
dendrimer.mtx,5709586,3711342,177,28,1998244,3830190,229,30,1879396,3691860,177,28,2017726,3819810,229,30,1889776,3708012,177,28,2001574,3826500,229,30,1883086,3698466,177,28,2011120,3820254,229,30,1889332
