nasa1824.mtx,2970176,2896788,42,8,73380,2702628,36,6,263062
circuit_1.mtx,46879734,43506498,2571,1,3373228,43080198,2504,1,3778396
G27.mtx,2968782,2595546,37,10,373228,2447406,33,7,502390
lock2232.mtx,9651472,9523008,48,0,128456,9523008,48,0,128456
spaceShuttleEntry_3.mtx,11613122,10156884,1700,4,1456230,9908526,33,2,1697317
tumorAntiAngiogenesis_6.mtx,905179,798774,461,2,106397,796992,461,2,108178
CollegeMsg.mtx,2443432,2239356,237,0,204068,2227014,237,0,215361
dendrimer.mtx,20496521,20375952,229,31,120561,19282452,228,28,1210483
