nasa1824.mtx,2122871,930396,42,6,1192475,932070,42,8,1190801,938706,42,8,1184165,940068,42,8,1182803,932250,42,8,1190621,925926,42,8,1196945
circuit_1.mtx,17222276,14530956,2571,1,2691320,14355816,137,1,2866460,14467512,2571,1,2754764,14395986,137,1,2826290,14474082,2571,1,2748194,14362344,137,1,2859932
G27.mtx,3873628,923202,37,8,2950426,800424,36,7,3073204,800538,37,8,3073090,919854,36,7,2953774,799524,37,8,3074104,799410,36,7,3074218
lock2232.mtx,3217156,3174336,48,0,42820,3174336,48,0,42820,3174336,48,0,42820,3174336,48,0,42820,3174336,48,0,42820,3174336,48,0,42820
spaceShuttleEntry_3.mtx,4638880,3310260,30,2,1328620,3374952,1700,2,1263928,3310164,30,2,1328716,3374874,1700,2,1264006,3310290,30,2,1328590,3384870,1700,2,1254010
tumorAntiAngiogenesis_6.mtx,369010,277638,461,5,91372,259734,94,2,109276,263106,21,2,105904,272622,461,5,96388,262554,94,2,106456,260112,21,2,108898
CollegeMsg.mtx,3306057,705906,233,0,2600151,775530,182,0,2530527,760458,237,0,2545599,686436,233,0,2619621,796878,182,0,2509179,741162,237,0,2564895
dendrimer.mtx,9970151,6498690,177,28,3471461,6725700,229,30,3244451,6496866,177,28,3473285,6727512,229,30,3242639,6492912,177,28,3477239,6716724,229,30,3253427
