nasa1824.mtx,4093616,2801352,42,6,1292264,2798064,42,8,1295552
circuit_1.mtx,48644154,43472550,2571,1,5171604,43114146,137,1,5530008
G27.mtx,5279902,2523264,37,8,2756638,2519688,36,7,2760214
lock2232.mtx,9651460,9523008,48,0,128452,9523008,48,0,128452
spaceShuttleEntry_3.mtx,11986248,9930714,30,2,2055534,10134696,1700,2,1851552
tumorAntiAngiogenesis_6.mtx,949183,803298,461,2,145885,792468,461,2,156715
CollegeMsg.mtx,4435558,2263242,237,0,2172316,2203128,237,0,2232430
dendrimer.mtx,22753348,19488468,177,28,3264880,20169936,229,30,2583412
