nasa1824.mtx,1002300,955494,42,8,45856,903780,36,8,96680,963900,42,8,38036,894660,36,6,105805,977394,42,8,24898,904188,36,6,95987
circuit_1.mtx,15640786,14516346,2571,1,1124432,14362848,2504,1,1270875,14485362,2571,1,1155363,14353614,2504,1,1280095,14504790,2571,1,1135989,14363736,2504,1,1269982
G27.mtx,990612,864678,37,10,126253,815154,33,7,169207,866358,37,10,124246,818496,33,7,166207,864510,37,10,126273,813756,33,7,170520
lock2232.mtx,3283798,3108456,48,0,173834,3108456,48,0,173834,3174336,48,0,108704,3174336,48,0,108704,3240216,48,0,43574,3240216,48,0,43574
spaceShuttleEntry_3.mtx,3877406,3391980,1700,4,485418,3302952,33,2,572023,3383100,1700,4,494299,3303114,33,2,571858,3381804,1700,4,495585,3302460,33,2,572508
tumorAntiAngiogenesis_6.mtx,309315,261678,21,5,47860,262890,94,2,46688,274002,461,2,35305,261720,21,5,47813,263094,94,2,46480,272382,461,2,36925
CollegeMsg.mtx,823559,749802,237,0,72312,735624,219,0,86385,754590,178,0,68961,743346,237,0,78096,734964,219,0,87225,748044,178,0,75310
dendrimer.mtx,6832856,6792630,229,31,40218,6433338,228,28,398282,6792132,229,31,40667,6422484,228,28,409193,6791190,229,31,41630,6426630,228,28,404962
