nasa1824.mtx,1818059,700764,42,6,1117295,707520,42,8,1110539,712152,42,8,1105907,705078,42,8,1112981,693708,42,6,1124351,688614,42,8,1129445,694728,42,8,1123331,696852,42,8,1121207
circuit_1.mtx,13106402,10785408,136,1,2320994,10837458,136,1,2268944,10752324,136,1,2354078,10798200,137,1,2308202,10989306,2571,1,2117096,10682730,137,1,2423672,10945512,2504,1,2160890,10795758,137,1,2310644
G27.mtx,3399990,632772,37,9,2767218,639846,34,8,2760144,631368,33,9,2768622,620820,36,10,2779170,634938,34,8,2765052,633054,34,9,2766936,624186,33,10,2775804,625968,33,7,2774022
lock2232.mtx,3762364,2379240,48,0,1383124,2379240,48,0,1383124,2382264,48,0,1380100,2382264,48,0,1380100,2379240,48,0,1383124,2379240,48,0,1383124,2382264,48,0,1380100,2382264,48,0,1380100
spaceShuttleEntry_3.mtx,3720031,2483268,30,2,1236763,2530554,1700,2,1189477,2482776,30,2,1237255,2531682,1700,2,1188349,2482164,30,2,1237867,2530494,1700,2,1189537,2482506,30,2,1237525,2541966,1700,2,1178065
tumorAntiAngiogenesis_6.mtx,296828,202638,461,2,94190,198072,461,2,98756,200382,461,2,96446,199212,461,2,97616,199938,461,2,96890,197436,461,2,99392,200340,461,2,96488,197748,461,2,99080
CollegeMsg.mtx,2969967,588474,237,0,2381493,549456,237,0,2420511,547470,237,0,2422497,552750,237,0,2417217,579558,237,0,2390409,551376,237,0,2418591,547740,237,0,2422227,549546,237,0,2420421
dendrimer.mtx,8130147,4878366,177,28,3251781,5041656,229,30,3088491,4866174,177,28,3263973,5041284,229,30,3088863,4872054,177,28,3258093,5043576,229,30,3086571,4871874,177,28,3258273,5043420,229,30,3086727
