nasa1824.mtx,8438910,8029818,42,9,409084,7249146,36,9,1173682,6439350,33,8,1960010,5778750,33,6,2604612
circuit_1.mtx,8922067,8501598,2571,1,420461,8250060,2504,1,664587,5912424,136,1,3001392,5596026,136,1,3306938
G27.mtx,9356695,8778816,37,15,577871,7938498,33,12,1392228,7339428,28,10,1971489,6554340,25,7,2727532
lock2232.mtx,17555653,16913784,48,0,641861,16913784,48,0,641861,16832886,48,0,720569,16832886,48,0,720569
spaceShuttleEntry_3.mtx,6973470,6477906,1700,4,495474,5746314,23,2,1223543,6544404,1700,4,429058,5738382,23,2,1231372
tumorAntiAngiogenesis_6.mtx,502101,465396,461,2,36685,472428,461,2,29665,466464,461,2,35611,468804,461,2,33350
CollegeMsg.mtx,4151243,3791712,237,0,360450,3845952,237,0,307065,3820944,237,0,331352,3929208,237,0,222027
dendrimer.mtx,8014226,7803642,229,31,210784,7166784,228,28,845432,7895046,229,31,119172,7240962,228,28,771251
