nasa1824.mtx,17375899,13664562,42,6,3711337,13832502,42,8,3543397
circuit_1.mtx,20751490,16561728,2571,1,4189762,11698380,137,1,9053110
G27.mtx,22781565,15268770,37,8,7512795,15342312,36,7,7439253
lock2232.mtx,35028190,33746670,48,0,1281520,33746670,48,0,1281520
spaceShuttleEntry_3.mtx,15960170,11572854,30,2,4387316,12934152,1700,2,3026018
tumorAntiAngiogenesis_6.mtx,1270018,934956,461,2,335062,938136,461,2,331882
CollegeMsg.mtx,14300188,7685070,237,0,6615118,7702746,237,0,6597442
dendrimer.mtx,17360830,14809680,177,28,2551150,15296754,229,30,2064076
