nasa1824.mtx,15247794,14469168,42,8,778618,13027896,36,6,2187818
circuit_1.mtx,15246701,14414022,2571,1,832671,13846086,2504,1,1382343
G27.mtx,17228216,16118244,37,10,1109964,14492838,33,7,2680364
lock2232.mtx,35028202,33746670,48,0,1281524,33746670,48,0,1281524
spaceShuttleEntry_3.mtx,13880344,13022310,1700,4,858026,11484696,23,2,2388409
tumorAntiAngiogenesis_6.mtx,1000623,931860,461,2,68664,941232,461,2,59383
CollegeMsg.mtx,8220996,7612656,237,0,608538,7775160,237,0,445828
dendrimer.mtx,15937240,15698688,229,31,238544,14407746,228,28,1525271
