nasa1824.mtx,7342208,4535982,42,6,2806226,4604814,42,8,2737394,4592610,42,8,2749598,4657314,42,8,2684894,4535970,42,8,2806238,4570374,42,8,2771834
circuit_1.mtx,10706997,5521014,2571,1,5185983,3901716,137,1,6805281,5532858,2571,1,5174139,3899058,137,1,6807939,5507856,2571,1,5199141,3897606,137,1,6809391
G27.mtx,11075275,5085150,37,8,5990125,5117256,36,7,5958019,5085660,37,8,5989615,5108742,36,7,5966533,5097960,37,8,5977315,5116314,36,7,5958961
lock2232.mtx,11676066,11248890,48,0,427176,11248890,48,0,427176,11248890,48,0,427176,11248890,48,0,427176,11248890,48,0,427176,11248890,48,0,427176
spaceShuttleEntry_3.mtx,7645770,3857862,30,2,3787908,4301808,1700,2,3343962,3857268,30,2,3788502,4311936,1700,2,3333834,3857724,30,2,3788046,4320408,1700,2,3325362
tumorAntiAngiogenesis_6.mtx,687510,365550,461,5,321960,289584,94,2,397926,276276,21,2,411234,371916,461,5,315594,293130,94,2,394380,276636,21,2,410874
CollegeMsg.mtx,9813401,2392860,233,0,7420541,2643678,182,0,7169723,2621880,237,0,7191521,2417580,233,0,7395821,2670330,182,0,7143071,2641488,237,0,7171913
dendrimer.mtx,7197249,4933992,177,28,2263257,5100156,229,30,2097093,4939194,177,28,2258055,5097696,229,30,2099553,4936494,177,28,2260755,5098902,229,30,2098347
