nasa1824.mtx,5141329,4808652,42,8,330103,4289502,36,6,836164,4781016,42,8,356042,4369158,36,6,760183,4879500,42,8,261821,4369236,36,8,760819
circuit_1.mtx,5094270,4792572,2571,1,301476,4604352,2504,1,483940,4816578,2571,1,277684,4627296,2504,1,460679,4804872,2571,1,289239,4614438,2504,1,473452
G27.mtx,5748902,5369712,37,10,379124,4828848,33,7,901555,5369958,37,10,378014,4831482,33,7,898590,5378574,37,10,370320,4832508,33,7,897713
lock2232.mtx,11676078,11248890,48,0,427180,11248890,48,0,427180,11248890,48,0,427180,11248890,48,0,427180,11248890,48,0,427180,11248890,48,0,427180
spaceShuttleEntry_3.mtx,4634922,4348860,1700,4,286054,3829590,23,2,802988,4329894,1700,4,305111,3826848,23,2,805383,4343556,1700,4,291147,3828258,23,2,804324
tumorAntiAngiogenesis_6.mtx,389051,294684,94,2,94092,274182,21,5,114822,362262,461,2,26820,297894,94,2,90926,274914,21,5,114004,369156,461,2,19887
CollegeMsg.mtx,2867640,2639550,233,0,233094,2364660,178,0,499097,2651268,237,0,216294,2691174,233,0,181259,2321838,178,0,541984,2719326,237,0,148306
dendrimer.mtx,5313316,5233014,229,31,80312,4803804,228,28,508128,5233776,229,31,79532,4801242,228,28,510636,5231898,229,31,81356,4802700,228,28,509163
