nasa1824.mtx,4919639,4702074,42,14,217557,4286664,36,12,625584,4010580,33,9,896268,3524358,33,9,1372808,3327744,27,9,1565865,2962482,27,9,1922436,2428770,27,8,2438080,2254392,27,6,2606142
circuit_1.mtx,6032766,5813292,2571,1,219466,5520198,2504,1,504189,3263700,136,1,2761656,3060828,136,1,2959003,2688306,136,1,3325989,2729862,136,1,3285392,2648724,105,1,3364730,2535198,105,1,3472929
G27.mtx,5433021,5121204,37,19,311809,4437330,33,18,974778,4230702,28,16,1176269,3952056,25,16,1447755,3657612,25,15,1729662,3501168,24,12,1881050,3108726,23,10,2258820,2602284,19,7,2743377
lock2232.mtx,8790345,8459814,48,0,331241,8459814,48,0,331241,8470008,48,0,320329,8470008,48,0,320329,8453970,48,0,336860,8453970,48,0,336860,8362878,48,0,426480,8362878,48,0,426480
spaceShuttleEntry_3.mtx,3500913,3229464,1700,4,271418,2874456,23,2,624597,3286218,1700,4,214687,2869668,23,2,629291,3248442,1700,4,252096,2871858,23,2,626986,3258186,1700,4,242411,2868714,23,2,630121
tumorAntiAngiogenesis_6.mtx,252093,230520,461,2,21495,237240,461,2,14845,236544,461,2,15543,234360,461,2,17780,234876,461,2,17250,235188,461,2,16880,229920,461,2,22128,234444,461,2,17630
CollegeMsg.mtx,2123787,1866540,237,0,256302,1836402,237,0,286259,1810188,237,0,310641,1955058,237,0,165979,1925172,237,0,196460,2009550,237,0,113118,2010756,237,0,113023,1974150,237,0,148360
dendrimer.mtx,4025207,3898212,229,31,126990,3581160,228,28,442929,3965604,229,31,59595,3632982,228,28,391182,3905430,229,31,119964,3585624,228,28,438673,3929442,229,31,95747,3607980,228,28,416239
