nasa1824.mtx,940867,919884,42,9,20975,820956,36,9,119027,762492,33,9,177365,702852,33,9,235060,666960,27,9,270207,663036,27,9,273902,547452,27,8,387605,515784,27,6,417845
circuit_1.mtx,11986719,11129232,2571,1,857760,11139594,2504,1,847117,10987608,137,1,999245,10973712,137,1,1013201,10851252,136,1,1135526,10763106,136,1,1218373,10538406,136,1,1432599,10203786,136,1,1751607
G27.mtx,860758,753978,37,16,106772,707694,33,16,147415,674718,29,15,176033,643788,28,14,203157,616248,26,13,226982,584070,25,11,254886,550602,25,10,283831,511854,24,7,317322
lock2232.mtx,2414398,2379240,48,0,35138,2379240,48,0,35138,2382264,48,0,32126,2382264,48,0,32126,2379240,48,0,35138,2379240,48,0,35138,2382264,48,0,32126,2382264,48,0,32126
spaceShuttleEntry_3.mtx,2913253,2536182,1700,4,377069,2476296,33,2,435122,2549172,1700,4,364073,2480256,33,2,431165,2532894,1700,4,380332,2476926,33,2,434480,2538636,1700,4,374584,2475048,33,2,436378
tumorAntiAngiogenesis_6.mtx,229102,198750,461,2,30343,198714,461,2,30379,198564,461,2,30531,198564,461,2,30531,202488,461,2,26606,199416,461,2,29679,198972,461,2,30119,200298,461,2,28791
CollegeMsg.mtx,627856,570948,237,0,57275,556812,237,0,70864,576648,237,0,51200,567852,237,0,59645,559452,237,0,68269,565920,237,0,61627,532308,237,0,94584,536430,237,0,90485
dendrimer.mtx,5145366,5084640,229,31,60686,4813572,228,28,330877,5086656,229,31,58724,4808424,228,28,335992,5089458,229,31,55855,4818234,228,28,326214,5115198,229,31,30160,4842222,228,28,302264
