nasa1824.mtx,1625102,1586844,42,9,38250,1483992,36,9,139997,1309944,33,8,312038,1218636,33,6,399973
circuit_1.mtx,23675066,21980484,2571,1,1694574,21902700,2504,1,1766778,21526014,137,1,2133132,21177498,137,1,2466096
G27.mtx,1566250,1370226,37,13,196016,1291764,33,11,264563,1225320,29,10,322126,1155642,28,7,382741
lock2232.mtx,4828780,4758480,48,0,70268,4758480,48,0,70268,4764528,48,0,64244,4764528,48,0,64244
spaceShuttleEntry_3.mtx,5815929,5069076,1700,4,746857,4953222,33,2,859058,5087808,1700,4,728113,4955304,33,2,856999
tumorAntiAngiogenesis_6.mtx,454449,401238,461,2,53203,398130,461,2,56312,397536,461,2,56904,398862,461,2,55576
CollegeMsg.mtx,1233048,1130400,237,0,102640,1122732,237,0,109587,1108956,237,0,122880,1104282,237,0,127226
dendrimer.mtx,10262196,10174098,229,31,87991,9631806,228,28,628541,10201854,229,31,60334,9650646,228,28,609706
